product_id,product_name,category,brand,unit,unit_price,initial_quantity,reorder_level,popularity_weight,paired_product_id,source_type,source_reference
P0001,Vở kẻ ngang 80 trang,Vở và giấy,Campus,quyển,12000,180,35,1,P0011,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0002,Vở kẻ ngang 120 trang,Vở và giấy,Campus,quyển,18000,150,30,8,P0011,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0003,Vở ô ly 96 trang,Vở và giấy,Hồng Hà,quyển,14000,170,35,5,P0017,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0004,Sổ lò xo A5 200 trang,Vở và giấy,Hải Tiến,quyển,42000,90,20,2,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0005,Sổ tay bìa da A5,Vở và giấy,OEM,quyển,79000,55,15,9,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0006,Giấy in A4 70 gsm,Vở và giấy,Double A,ram,82000,120,25,6,P0043,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0007,Giấy in A4 80 gsm,Vở và giấy,PaperOne,ram,99000,100,20,3,P0043,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0008,Giấy màu A4 100 tờ,Vở và giấy,IK Plus,xấp,65000,60,15,10,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0009,Giấy note 3 x 3 inch,Vở và giấy,Deli,xấp,18000,140,30,7,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0010,Giấy photo A3 70 gsm,Vở và giấy,Double A,ram,165000,45,10,4,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0011,Bút bi xanh 0.5 mm,Bút viết,Thiên Long,cây,5000,350,70,1,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0012,Bút bi đen 0.5 mm,Bút viết,Thiên Long,cây,5000,300,60,8,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0013,Bút bi đỏ 0.5 mm,Bút viết,Thiên Long,cây,5000,240,50,5,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0014,Bút gel xanh 0.5 mm,Bút viết,Deli,cây,12000,180,40,2,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0015,Bút máy học sinh,Bút viết,Hồng Hà,cây,45000,80,20,9,P0016,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0016,Ống mực bút máy xanh,Bút viết,Hồng Hà,hộp,25000,100,25,6,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0017,Bút chì 2B,Bút viết,Staedtler,cây,9000,220,45,3,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0018,Bút chì kim 0.5 mm,Bút viết,Pentel,cây,38000,90,20,10,P0019,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0019,Ruột chì kim 0.5 mm,Bút viết,Pentel,hộp,22000,110,25,7,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0020,Bút dạ quang 5 màu,Bút viết,Stabilo,bộ,85000,70,15,4,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0021,Thước thẳng 20 cm,Dụng cụ học tập,Thiên Long,cây,7000,160,35,1,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0022,Thước ê ke 2 chiếc,Dụng cụ học tập,Deli,bộ,18000,90,20,8,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0023,Compa học sinh,Dụng cụ học tập,Maped,chiếc,42000,65,15,5,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0024,Tẩy chì trắng,Dụng cụ học tập,Staedtler,viên,8000,180,40,2,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0025,Gọt bút chì có hộp,Dụng cụ học tập,Deli,chiếc,15000,120,25,9,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
